eps1,eps2,min_samples1,min_samples2,metric1,metric2,leaf_size1,leaf_size2,p1,p2,Top-1 Accuracy,Top-2 Accuracy,Images Processed
20,35,2,2,euclidean,euclidean,30,30,,,70.59,86.55,119
34,23,1,2,euclidean,euclidean,30,30,,,61.34,86.55,119
23,35,2,2,euclidean,euclidean,30,30,,,70.59,86.55,119
23,35,2,1,euclidean,euclidean,30,30,,,70.59,86.55,119
23,34,2,2,euclidean,euclidean,30,30,,,70.59,86.55,119
23,34,2,1,euclidean,euclidean,30,30,,,70.59,86.55,119
21,34,2,2,euclidean,euclidean,30,30,,,70.59,86.55,119
21,35,2,1,euclidean,euclidean,30,30,,,70.59,86.55,119
21,35,2,2,euclidean,euclidean,30,30,,,70.59,86.55,119
35,20,1,2,euclidean,euclidean,30,30,,,65.55,86.55,119
35,20,2,2,euclidean,euclidean,30,30,,,79.83,86.55,119
35,21,2,2,euclidean,euclidean,30,30,,,79.83,86.55,119
35,22,2,2,euclidean,euclidean,30,30,,,79.83,86.55,119
35,23,2,2,euclidean,euclidean,30,30,,,79.83,86.55,119
34,23,2,2,euclidean,euclidean,30,30,,,76.47,86.55,119
34,22,2,2,euclidean,euclidean,30,30,,,76.47,86.55,119
34,21,2,2,euclidean,euclidean,30,30,,,76.47,86.55,119
35,21,1,2,euclidean,euclidean,30,30,,,65.55,86.55,119
21,34,2,1,euclidean,euclidean,30,30,,,70.59,86.55,119
34,22,1,2,euclidean,euclidean,30,30,,,61.34,86.55,119
34,21,1,2,euclidean,euclidean,30,30,,,61.34,86.55,119
20,35,2,1,euclidean,euclidean,30,30,,,70.59,86.55,119
20,34,2,2,euclidean,euclidean,30,30,,,70.59,86.55,119
20,34,2,1,euclidean,euclidean,30,30,,,70.59,86.55,119
22,34,2,1,euclidean,euclidean,30,30,,,70.59,86.55,119
22,34,2,2,euclidean,euclidean,30,30,,,70.59,86.55,119
22,35,2,1,euclidean,euclidean,30,30,,,70.59,86.55,119
22,35,2,2,euclidean,euclidean,30,30,,,70.59,86.55,119
34,20,2,2,euclidean,euclidean,30,30,,,76.47,86.55,119
35,23,1,2,euclidean,euclidean,30,30,,,65.55,86.55,119
35,22,1,2,euclidean,euclidean,30,30,,,65.55,86.55,119
34,20,1,2,euclidean,euclidean,30,30,,,61.34,86.55,119
22,33,2,1,euclidean,euclidean,30,30,,,70.59,85.71,119
22,32,2,2,euclidean,euclidean,30,30,,,70.59,85.71,119
