fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.86514,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.85792,0.00898,0.00855,0.9433,0.00053,3.01316,0.65963,7.60058,0.47723,1.49679,0.01519,0.71814,0.36688,0.0,0.10463,0.42279,0.0,0.0,0.0,0.52247,0.0,0.86614,0.0,0.0
0.85964,0.01027,0.00974,0.95959,0.0005,2.96355,0.75791,7.44714,0.51112,1.67305,0.015,0.63545,0.41369,0.0,0.09671,0.5,0.0,0.0,0.0,0.5,0.0,0.92288,0.0,0.0
0.86558,0.00991,0.01008,0.937,0.0005,2.98646,0.8,7.77482,0.50547,1.5,0.015,0.7,0.38628,0.0,0.10026,0.49322,0.0,0.0,0.0,0.49083,0.0,1.0,0.0,0.0
0.85847,0.00953,0.01217,0.95708,0.00058,3.23995,0.86358,7.77482,0.52391,1.54952,0.015,0.7,0.43752,0.0,0.10026,0.62206,0.0,0.0,0.0,0.49083,0.0,1.0,0.0,0.0
0.85392,0.00934,0.01,0.937,0.0005,3.10215,0.79036,8.11913,0.48804,1.48724,0.01394,0.7124,0.4,0.0,0.0972,0.5,0.0,0.0,0.0,0.46558,0.0,1.0,0.0,0.0
0.86383,0.00916,0.01219,0.937,0.00052,2.6455,0.93872,8.77516,0.5387,1.5,0.01307,0.7,0.39633,0.0,0.1,0.47322,0.0,0.0,0.0,0.42897,0.0,1.0,0.0,0.0
0.86626,0.00992,0.00998,0.937,0.0005,3.0,0.80242,7.49348,0.5,1.4936,0.01499,0.70462,0.4012,0.0,0.1,0.49855,0.0,0.0,0.0,0.501,0.0,1.0,0.0,0.0
0.86525,0.00972,0.01516,0.97366,0.0006,2.62155,0.94032,7.76747,0.51758,1.32022,0.01285,0.64013,0.39633,0.0,0.1,0.46247,0.0,0.0,0.0,0.36174,0.0,1.0,0.0,0.0
0.86917,0.00992,0.00961,0.889,0.00064,3.0,0.80242,7.49348,0.5,1.4275,0.01754,0.50638,0.34698,0.0,0.10357,0.44216,0.0,0.0,0.0,0.54797,0.0,1.0,0.0,0.0
