fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.74655,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.74959,0.0105,0.0104,0.93367,0.00048,3.0,0.75902,7.5,0.5,1.52676,0.01453,0.70668,0.41489,0.0,0.09924,0.49332,0.0,0.0,0.0,0.51453,0.0,0.99783,0.0,0.0
0.74704,0.00974,0.01017,0.93367,0.00043,3.0,0.79041,7.41372,0.4925,1.47062,0.01412,0.70668,0.44802,0.0,0.10316,0.44124,0.0,0.0,0.0,0.51453,0.0,0.87305,0.0,0.0
0.75481,0.01063,0.00942,0.93367,0.00036,3.34026,0.69515,7.41372,0.50936,1.47062,0.01024,0.70668,0.44863,0.0,0.10316,0.36987,0.0,0.0,0.0,0.45621,0.0,0.92207,0.0,0.0
0.74818,0.01084,0.01099,0.93967,0.0005,3.1223,0.7933,7.83682,0.54196,1.63404,0.01353,0.66812,0.41818,0.0,0.09924,0.49959,0.0,0.0,0.0,0.48857,0.0,1.0,0.0,0.0
0.74989,0.01091,0.00722,0.98,0.0005,2.48741,0.73209,7.69418,0.50936,1.86923,0.01024,0.82595,0.46025,0.0,0.10316,0.36987,0.0,0.0,0.0,0.48055,0.0,0.99998,0.0,0.0
0.73956,0.01063,0.00927,0.93367,0.00029,2.81724,0.69047,9.38287,0.60154,1.47062,0.00875,0.77621,0.40831,0.0,0.09495,0.45364,0.0,0.0,0.0,0.6333,0.0,1.0,0.0,0.0
0.75226,0.01006,0.00942,0.92927,0.0004,3.34026,0.69515,6.85197,0.52991,1.32355,0.01114,0.80329,0.46531,0.0,0.09953,0.32691,0.0,0.0,0.0,0.45621,0.0,0.92207,0.0,0.0
0.74621,0.0105,0.01344,0.95765,0.00048,3.2126,0.95,6.86611,0.54647,1.39526,0.01453,0.61419,0.39604,0.0,0.11085,0.49332,0.0,0.0,0.0,0.51429,0.0,0.99783,0.0,0.0
0.74905,0.01063,0.00851,0.93979,0.00036,3.91431,0.47315,6.62372,0.46873,1.47062,0.00992,0.66787,0.44423,0.0,0.09265,0.36987,0.0,0.0,0.0,0.55395,0.0,0.93338,0.0,0.0
