epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8336,1.29643,2.79354,1.12347,0.56932,0.57672,0.59399,0.4012,1.15342,1.84003,1.06908,0.000236017,0.000236017,0.000236017
2,41.2662,1.13584,1.3367,1.04893,0.83364,0.84148,0.8913,0.63012,1.08083,0.93984,1.03464,0.000464631,0.000464631,0.000464631
3,59.5908,1.08232,1.0664,1.02856,0.8798,0.82864,0.907,0.63519,1.12071,0.85425,1.07788,0.000683821,0.000683821,0.000683821
4,75.9244,1.0751,0.96816,1.02797,0.89621,0.9042,0.93365,0.66907,1.06743,0.76453,1.05277,0.000671588,0.000671588,0.000671588
5,93.2645,1.05825,0.90468,1.02373,0.89112,0.92729,0.9576,0.69245,1.04557,0.72492,1.03543,0.000657451,0.000657451,0.000657451
6,111.465,1.02956,0.84554,1.01417,0.94823,0.92417,0.9688,0.70664,1.04669,0.66073,1.02985,0.000643314,0.000643314,0.000643314
7,131.837,1.02841,0.80983,1.01156,0.94508,0.92401,0.96813,0.70512,1.04047,0.66141,1.03648,0.000629177,0.000629177,0.000629177
8,152.613,1.02145,0.77536,1.01133,0.94528,0.93541,0.97044,0.71425,1.0314,0.618,1.02959,0.00061504,0.00061504,0.00061504
9,175.513,1.00439,0.75273,1.00567,0.95201,0.92264,0.96949,0.71373,1.02621,0.62969,1.02879,0.000600902,0.000600902,0.000600902
10,203.34,0.993,0.72718,0.99964,0.94647,0.92708,0.97076,0.71282,1.02849,0.61727,1.03751,0.000586765,0.000586765,0.000586765
11,231.825,0.99244,0.70269,1.00064,0.95303,0.94192,0.97703,0.72943,0.99116,0.57479,1.02273,0.000572628,0.000572628,0.000572628
12,261.144,0.98158,0.68057,0.99785,0.94937,0.92851,0.97196,0.72442,1.00616,0.58475,1.02012,0.000558491,0.000558491,0.000558491
13,289.86,0.97199,0.6619,0.99342,0.9518,0.9467,0.97453,0.72876,1.00279,0.55848,1.02045,0.000544354,0.000544354,0.000544354
14,318.183,0.9796,0.66095,0.99609,0.95235,0.95759,0.97946,0.72243,1.01937,0.55581,1.02899,0.000530216,0.000530216,0.000530216
15,345.968,0.97625,0.64636,0.99892,0.94698,0.9534,0.97777,0.72815,1.00559,0.55439,1.03006,0.000516079,0.000516079,0.000516079
16,372.666,0.9595,0.62498,0.9885,0.95852,0.95263,0.97903,0.73402,0.99943,0.53609,1.0262,0.000501942,0.000501942,0.000501942
17,400.29,0.95619,0.61715,0.98807,0.97082,0.95753,0.98219,0.73537,1.00018,0.5228,1.02472,0.000487805,0.000487805,0.000487805
18,426.536,0.94638,0.60086,0.98356,0.959,0.96461,0.98255,0.73107,1.01234,0.52507,1.02335,0.000473668,0.000473668,0.000473668
19,453.153,0.9539,0.5993,0.99056,0.96462,0.95244,0.97901,0.73133,1.00382,0.52317,1.02389,0.00045953,0.00045953,0.00045953
20,479.794,0.9417,0.58069,0.98251,0.96737,0.95883,0.98465,0.73979,0.98541,0.50513,1.01896,0.000445393,0.000445393,0.000445393
21,506.218,0.94617,0.58558,0.98887,0.96084,0.95836,0.98122,0.73688,0.98395,0.50865,1.01848,0.000431256,0.000431256,0.000431256
22,533.175,0.93777,0.57706,0.98264,0.9689,0.95774,0.98202,0.73403,1.01651,0.49406,1.03997,0.000417119,0.000417119,0.000417119
23,560.535,0.94635,0.57048,0.98434,0.9652,0.95729,0.98277,0.74018,0.99559,0.49683,1.02311,0.000402982,0.000402982,0.000402982
24,588.335,0.92712,0.56025,0.98023,0.97487,0.96102,0.98365,0.74733,0.98916,0.49008,1.01804,0.000388844,0.000388844,0.000388844
25,616.054,0.92569,0.55364,0.97757,0.97415,0.95328,0.98532,0.7453,0.99621,0.4847,1.0245,0.000374707,0.000374707,0.000374707
26,644.015,0.92103,0.53574,0.97419,0.96506,0.96434,0.98559,0.74912,0.99069,0.4707,1.01865,0.00036057,0.00036057,0.00036057
27,671.822,0.92049,0.54125,0.97551,0.9671,0.96611,0.98493,0.74312,0.9976,0.47552,1.02084,0.000346433,0.000346433,0.000346433
28,700.128,0.9092,0.5332,0.97156,0.9674,0.97024,0.9854,0.74923,0.99846,0.46923,1.01898,0.000332296,0.000332296,0.000332296
29,726.755,0.91664,0.53436,0.97618,0.96443,0.97002,0.98598,0.75265,0.98029,0.46166,1.01685,0.000318158,0.000318158,0.000318158
30,756.052,0.9171,0.52546,0.97684,0.96746,0.96809,0.98807,0.75129,0.9743,0.45885,1.01413,0.000304021,0.000304021,0.000304021
31,784.989,0.90378,0.52025,0.9693,0.9706,0.9657,0.98595,0.74747,0.99112,0.46797,1.02248,0.000289884,0.000289884,0.000289884
