epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5396,0.99117,1.82951,1.04245,0.85119,0.76693,0.83903,0.60906,0.93978,1.66977,1.00458,0.000661111,0.000661111,0.000661111
2,40.5239,0.95253,1.10187,1.02137,0.83739,0.86034,0.88496,0.65666,0.97122,1.01237,1.03903,0.00130149,0.00130149,0.00130149
3,57.0587,0.95241,0.85943,1.01917,0.90335,0.88827,0.92245,0.69874,0.9017,0.7764,1.00496,0.00191546,0.00191546,0.00191546
4,73.0509,0.91167,0.74726,1.0096,0.90227,0.9162,0.93514,0.71276,0.87072,0.7524,1.01756,0.0018812,0.0018812,0.0018812
5,89.3149,0.91765,0.70151,1.0157,0.96687,0.91341,0.97126,0.74179,0.83688,0.60317,0.96749,0.0018416,0.0018416,0.0018416
6,105.649,0.86164,0.6376,0.98922,0.92978,0.92468,0.95983,0.76001,0.78503,0.59339,0.96038,0.001802,0.001802,0.001802
7,121.767,0.83382,0.59284,0.98261,0.95668,0.93855,0.97334,0.77827,0.80133,0.53934,0.95496,0.0017624,0.0017624,0.0017624
8,138.326,0.81815,0.58516,0.97415,0.92971,0.92458,0.97303,0.79032,0.73589,0.54035,0.94376,0.0017228,0.0017228,0.0017228
9,154.728,0.80016,0.55117,0.96612,0.97177,0.96154,0.98144,0.80368,0.73343,0.49593,0.93166,0.0016832,0.0016832,0.0016832
10,170.718,0.79094,0.53688,0.96287,0.97217,0.94972,0.98015,0.78133,0.77612,0.50071,0.95419,0.0016436,0.0016436,0.0016436
11,186.653,0.77318,0.52884,0.95341,0.96597,0.95143,0.98098,0.78752,0.7593,0.49444,0.92748,0.001604,0.001604,0.001604
12,202.671,0.75305,0.50298,0.94404,0.9717,0.95918,0.98277,0.80001,0.7541,0.45198,0.94707,0.0015644,0.0015644,0.0015644
13,218.92,0.74597,0.49495,0.94491,0.98856,0.97207,0.99189,0.81698,0.7055,0.42693,0.91955,0.0015248,0.0015248,0.0015248
14,235.101,0.74965,0.49271,0.94931,0.98159,0.98045,0.99336,0.82054,0.70565,0.41305,0.92347,0.0014852,0.0014852,0.0014852
15,251.341,0.72465,0.4707,0.94098,0.97865,0.96927,0.99042,0.8237,0.70105,0.41863,0.91989,0.0014456,0.0014456,0.0014456
16,267.796,0.72782,0.47182,0.94219,0.98872,0.97937,0.99002,0.82408,0.72376,0.4031,0.91864,0.001406,0.001406,0.001406
17,284.092,0.71029,0.45518,0.9339,0.98176,0.97765,0.99283,0.8071,0.74679,0.41302,0.92245,0.0013664,0.0013664,0.0013664
18,300.678,0.71919,0.45501,0.9264,0.97965,0.96927,0.98424,0.8163,0.72941,0.43206,0.91623,0.0013268,0.0013268,0.0013268
19,317.627,0.70464,0.43976,0.93095,0.99425,0.96616,0.99112,0.8367,0.65651,0.3771,0.89771,0.0012872,0.0012872,0.0012872
20,334.255,0.70012,0.44255,0.92939,0.98572,0.96406,0.98903,0.82762,0.68294,0.39895,0.91076,0.0012476,0.0012476,0.0012476
21,350.867,0.68485,0.42436,0.91168,0.9832,0.98063,0.99296,0.8408,0.67134,0.37584,0.91016,0.001208,0.001208,0.001208
22,367.817,0.69406,0.43744,0.92658,0.98044,0.97998,0.99268,0.83716,0.67799,0.37859,0.91107,0.0011684,0.0011684,0.0011684
23,384.701,0.67717,0.41384,0.91325,0.98878,0.98461,0.99284,0.83812,0.67338,0.37042,0.90083,0.0011288,0.0011288,0.0011288
24,401.937,0.65964,0.40445,0.92169,0.98482,0.97207,0.99146,0.85478,0.64718,0.35879,0.8891,0.0010892,0.0010892,0.0010892
25,419.103,0.67337,0.41203,0.91679,0.98037,0.97634,0.99085,0.83957,0.65513,0.38007,0.89264,0.0010496,0.0010496,0.0010496
26,436.362,0.65667,0.40159,0.91137,0.98035,0.97765,0.99288,0.84987,0.65039,0.35826,0.89984,0.00101,0.00101,0.00101
27,453.508,0.64576,0.40492,0.9161,0.99373,0.98045,0.99377,0.8435,0.63329,0.3471,0.89282,0.0009704,0.0009704,0.0009704
28,470.535,0.65007,0.39828,0.90893,0.98523,0.98045,0.99166,0.8414,0.6576,0.3547,0.89932,0.0009308,0.0009308,0.0009308
29,488.251,0.65012,0.38859,0.90747,0.9887,0.97751,0.99181,0.8595,0.62081,0.33942,0.88526,0.0008912,0.0008912,0.0008912
30,505.231,0.64682,0.38733,0.9064,0.98044,0.97997,0.99227,0.85349,0.61382,0.34618,0.87819,0.0008516,0.0008516,0.0008516
31,522.543,0.62333,0.37382,0.90032,0.99322,0.98883,0.99438,0.86326,0.61586,0.33088,0.87776,0.000812,0.000812,0.000812
32,539.799,0.62649,0.37456,0.90372,0.98945,0.98883,0.99443,0.85909,0.61022,0.32509,0.88059,0.0007724,0.0007724,0.0007724
33,557.225,0.61458,0.3634,0.89609,0.99303,0.98045,0.99469,0.86253,0.62145,0.328,0.8831,0.0007328,0.0007328,0.0007328
34,574.763,0.61752,0.36506,0.89701,0.9859,0.98603,0.99401,0.86272,0.607,0.31626,0.88129,0.0006932,0.0006932,0.0006932
35,592.099,0.62451,0.3631,0.90134,0.98975,0.98883,0.99461,0.86672,0.61087,0.31274,0.87642,0.0006536,0.0006536,0.0006536
36,609.475,0.60235,0.3509,0.89097,0.99157,0.98542,0.99444,0.87164,0.60159,0.31281,0.87427,0.000614,0.000614,0.000614
37,626.434,0.61155,0.35286,0.89533,0.98877,0.98336,0.99458,0.86775,0.59504,0.30535,0.8736,0.0005744,0.0005744,0.0005744
38,643.505,0.60477,0.35085,0.88841,0.99154,0.98194,0.99438,0.87012,0.59795,0.30748,0.86912,0.0005348,0.0005348,0.0005348
39,660.403,0.59564,0.34449,0.88501,0.99645,0.99162,0.99472,0.86788,0.60099,0.30178,0.87607,0.0004952,0.0004952,0.0004952
40,677.439,0.5798,0.3348,0.88236,0.98888,0.99381,0.99486,0.87677,0.59608,0.30139,0.86759,0.0004556,0.0004556,0.0004556
41,740.924,0.56425,0.30279,0.87057,0.99438,0.98838,0.99466,0.87117,0.6015,0.30749,0.87051,0.000416,0.000416,0.000416
42,757.046,0.55588,0.29872,0.86377,0.99139,0.99162,0.99446,0.86987,0.60992,0.31049,0.87479,0.0003764,0.0003764,0.0003764
43,773.053,0.54836,0.29122,0.85662,0.99377,0.98603,0.99458,0.87315,0.59469,0.30875,0.86963,0.0003368,0.0003368,0.0003368
44,788.961,0.54411,0.28869,0.86034,0.9939,0.98603,0.99458,0.87365,0.59259,0.30643,0.87602,0.0002972,0.0002972,0.0002972
45,804.984,0.53553,0.27845,0.85791,0.99159,0.98832,0.99461,0.87773,0.59171,0.2994,0.87339,0.0002576,0.0002576,0.0002576
46,820.903,0.52699,0.27805,0.85133,0.99438,0.9883,0.9946,0.87186,0.5923,0.29874,0.86885,0.000218,0.000218,0.000218
